audio_path,audio_filename.wav,subtitle,text_for_tts,original_english
\voice\damage_reporting\busted_suspension,2.wav,"Deine Suspension ist komplett hin, da können wir nichts mehr machen","Deine Suspension ist komplett hin, da können wir nichts mehr machen","your suspension's completely knackered, there's nothing we can do there"
\voice\damage_reporting\busted_suspension,2_op_prefix_oh_dear.wav,"Deine Suspension ist komplett hin, da können wir nichts mehr machen","Deine Suspension ist komplett hin, da können wir nichts mehr machen","your suspension's completely knackered, there's nothing we can do there"
\voice\damage_reporting\busted_suspension,2_prefix_oh_dear.wav,"Deine Suspension ist komplett hin, da können wir nichts mehr machen","Deine Suspension ist komplett hin, da können wir nichts mehr machen","your suspension's completely knackered, there's nothing we can do there"
\voice\damage_reporting\busted_suspension,sweary_3.wav,die Suspension ist hinüber,die Suspension ist hinüber,the suspension's boogered
\voice\damage_reporting\busted_transmission,1.wav,"Die Getriebe ist komplett hin, unser Rennen ist vorbei","Die Getriebe ist komplett hin, unser Rennen ist vorbei","transmission's completely screwed, that's our race done"
\voice\damage_reporting\busted_transmission,3.wav,"schalte es aus, Kumpel, von der Übertragung ist nichts mehr da, hier ist Schluss","schalte es aus, Kumpel, von der Übertragung ist nichts mehr da, hier ist Schluss","switch it off, mate, there's nothing left of the transmission, we're done here"
\voice\damage_reporting\busted_transmission,3_op_prefix_oh_dear.wav,"schalte es aus, Kumpel, von der Übertragung ist nichts mehr da, hier sind wir fertig","schalte es aus, Kumpel, von der Übertragung ist nichts mehr da, hier sind wir fertig","switch it off, mate, there's nothing left of the transmission, we're done here"
\voice\damage_reporting\busted_transmission,sweary_2.wav,"keine Chance, mit der Übertragung in diesem Zustand ins Pit zurückzukommen, Kumpel, du hast es versaut","keine Chance, mit der Übertragung in diesem Zustand ins Pit zurückzukommen, Kumpel, du hast es versaut","no chance of getting back to the pits with the transmission in that state, mate, you fucked it"
\voice\damage_reporting\left_front_puncture,1.wav,Vorderlinksreifenpanne,Vorderlinksreifenpanne,front left puncture
\voice\damage_reporting\left_front_puncture,2.wav,flacher vorderlinks,flacher vorderlinks,flat front left
\voice\damage_reporting\left_front_puncture,3.wav,links vordere Reifenzwang,links vordere Reifenzwang,front left puncture
\voice\damage_reporting\left_rear_puncture,1.wav,links hinten Reifendruck,links hinten Reifendruck,rear left puncture
\voice\damage_reporting\left_rear_puncture,2.wav,links hinten Reifenpanne,links hinten Reifenpanne,left rear puncture
\voice\damage_reporting\left_rear_puncture,3.wav,Ihre linke Hinterreifen ist zerstochen,Ihre linke Hinterreifen ist zerstochen,your left rear is punctured
\voice\damage_reporting\minor_aero_damage,10.wav,Sie haben ein wenig Karosseriebeschädigung erlitten,Sie haben ein wenig Karosseriebeschädigung erlitten,you picked up a little bit of bodywork damage
\voice\damage_reporting\minor_aero_damage,11.wav,wir sehen ein bisschen aerodynamische Schäden,wir sehen ein bisschen aerodynamische Schäden,we're seeing a little bit of aero damage
\voice\damage_reporting\minor_aero_damage,12.wav,sieht aus als hättest du einige geringfügige Karosseriebeschädigungen,sieht aus als hättest du einige geringfügige Karosseriebeschädigungen,looks like you got some minor bodywork damage
\voice\damage_reporting\minor_aero_damage,1_op_prefix_ok.wav,du hast einige geringfügige Aerodynamikschäden erlitten,du hast einige geringfügige Aerodynamikschäden erlitten,you picked up some minor aero damage
\voice\damage_reporting\minor_aero_damage,2_op_prefix_ok.wav,du hast erhebliche Aerodynamikschäden eingefangen,du hast erhebliche Aerodynamikschäden eingefangen,you picked up a big of aero damage
\voice\damage_reporting\minor_aero_damage,3_op_prefix_ok.wav,du hast da ein bisschen Karosserie-Schaden,du hast da ein bisschen Karosserie-Schaden,you've had a bit of bodywork damage there
\voice\damage_reporting\minor_aero_damage,4_op_prefix_ok.wav,"du hattest einige geringfügige Aerodynamikschäden, bleibe draußen, es ist nicht so schlimm","du hattest einige geringfügige Aerodynamikschäden, bleibe draußen, es ist nicht so schlimm","you had some minor aero damage, stay out, it's not that bad"
\voice\damage_reporting\minor_aero_damage,5.wav,"Sie haben etwas Karosserieschaden, bleiben Sie draußen, es ist nicht allzu schlimm","Sie haben etwas Karosserieschaden, bleiben Sie draußen, es ist nicht allzu schlimm","you've had a bit of bodywork damage, stay out, it's not too bad"
\voice\damage_reporting\minor_aero_damage,6.wav,Sie haben dort etwas Karosserieschaden,Sie haben dort etwas Karosserieschaden,you've got a little bit of bodywork damage there
\voice\damage_reporting\minor_aero_damage,7.wav,einige geringfügige Aerodynamikschäden,einige geringfügige Aerodynamikschäden,some minor aero damage
\voice\damage_reporting\minor_aero_damage,8.wav,wir beobachten einige geringfügige Aerodynamikschäden,wir beobachten einige geringfügige Aerodynamikschäden,we're seeing some minor aero damage
\voice\damage_reporting\minor_aero_damage,9.wav,da ist ein kleiner Schaden an der Karosserie zu sehen,da ist ein kleiner Schaden an der Karosserie zu sehen,we're seeing a little bit of bodywork damage there
\voice\damage_reporting\minor_aero_damage_general,10.wav,Sie haben etwas Karosseriebeschädigung erlitten,Sie haben etwas Karosseriebeschädigung erlitten,you've picked up a little bit of bodywork damage
\voice\damage_reporting\minor_aero_damage_general,11.wav,wir sehen einen kleinen aerodynamischen Schaden,wir sehen einen kleinen aerodynamischen Schaden,we're seeing a little bit of aero damage
\voice\damage_reporting\minor_aero_damage_general,12.wav,sieht aus als hättest du einige geringfügige Karosseriebeschädigungen,sieht aus als hättest du einige geringfügige Karosseriebeschädigungen,looks like you got some minor bodywork damage
\voice\damage_reporting\minor_aero_damage_general,1_op_prefix_ok.wav,du hast einige geringfügige Aerodynamikschäden erlitten,du hast einige geringfügige Aerodynamikschäden erlitten,you picked up some minor aero damage
\voice\damage_reporting\minor_aero_damage_general,2_op_prefix_ok.wav,du hast etwas aerodynamischen Schaden eingefangen,du hast etwas aerodynamischen Schaden eingefangen,you picked up a bit of aero damage
\voice\damage_reporting\minor_aero_damage_general,3_op_prefix_ok.wav,du hast da etwas Karosserieschaden,du hast da etwas Karosserieschaden,you've had a bit of bodywork damage there
\voice\damage_reporting\minor_aero_damage_general,6.wav,du hast dort ein wenig Karosserieschaden,du hast dort ein wenig Karosserieschaden,you've got a little bit of bodywork damage there
\voice\damage_reporting\minor_aero_damage_general,7.wav,einige geringfügige Aerodynamikschäden,einige geringfügige Aerodynamikschäden,some minor aero damage
\voice\damage_reporting\minor_aero_damage_general,8.wav,wir sehen einige geringfügige Aerodynamikschäden,wir sehen einige geringfügige Aerodynamikschäden,we're seeing some minor aero damage
\voice\damage_reporting\minor_aero_damage_general,9.wav,da ist ein wenig Karosserieschaden zu sehen,da ist ein wenig Karosserieschaden zu sehen,we're seeing a little bit of bodywork damage there
\voice\damage_reporting\minor_brake_damage,1.wav,du hast ein wenig Bremsschaden,du hast ein wenig Bremsschaden,you've got a bit of brake damage
\voice\damage_reporting\minor_brake_damage,2.wav,wir sehen einige geringfügige Bremsschäden,wir sehen einige geringfügige Bremsschäden,we're seeing some minor brake damage
\voice\damage_reporting\minor_brake_damage,3.wav,"an der bremsen stimmt etwas nicht, kumpel","an der bremsen stimmt etwas nicht, kumpel","there's something not right with those brakes, mate"
\voice\damage_reporting\minor_engine_damage,1.wav,"dieses Motor klingt nicht richtig, Kumpel, wir werden es im Auge behalten","dieses Motor klingt nicht richtig, Kumpel, wir werden es im Auge behalten","that engine doesn't sound right, mate, we'll keep an eye on it"
\voice\damage_reporting\minor_engine_damage,2.wav,"Dein Motor läuft ein bisschen holperig, Kumpel","Dein Motor läuft ein bisschen holperig, Kumpel","your engine's running a bit rough, mate"
\voice\damage_reporting\minor_engine_damage,3.wav,sei sanft mit dem Motor oder er wird die Distanz nicht schaffen,sei sanft mit dem Motor oder er wird die Distanz nicht schaffen,go easy on the engine or it's not gonna last the distance
\voice\damage_reporting\minor_suspension_damage,10.wav,du hast einen kleinen Schaden am Fahrwerk,du hast einen kleinen Schaden am Fahrwerk,you got a little bit of suspension damage
\voice\damage_reporting\minor_suspension_damage,1_op_prefix_ok.wav,"du hast ein wenig Stoßdämpfer-Schaden, es ist wahrscheinlich in Ordnung","du hast ein wenig Stoßdämpfer-Schaden, es ist wahrscheinlich in Ordnung","you've had a bit of suspension damage, it's probably all right"
\voice\damage_reporting\minor_suspension_damage,2_op_prefix_ok.wav,"du hast einige Federungsschäden, bleib draußen","du hast einige Federungsschäden, bleib draußen","you've had some suspension damage there, stay out"
\voice\damage_reporting\minor_suspension_damage,3_op_prefix_ok.wav,Sie haben einiges an Federungsschaden,Sie haben einiges an Federungsschaden,you've had a bit of suspension damage
\voice\damage_reporting\minor_suspension_damage,4.wav,es gibt einige geringfügige Schaden am Fahrwerk,es gibt einige geringfügige Schaden am Fahrwerk,there's some minor suspension damage
\voice\damage_reporting\minor_suspension_damage,5.wav,wir beobachten einige geringfügige Schaden an der Suspension,wir beobachten einige geringfügige Schaden an der Suspension,we're seeing some minor suspension damage
\voice\damage_reporting\minor_suspension_damage,6.wav,du hast ein wenig Federungsschaden,du hast ein wenig Federungsschaden,you've got a little bit of suspension damage
\voice\damage_reporting\minor_suspension_damage,7.wav,"es sieht so aus, als wäre deine Suspension ein wenig vom Lot ab","es sieht so aus, als wäre deine Suspension ein wenig vom Lot ab",it looks like your suspension's a little bit off
\voice\damage_reporting\minor_suspension_damage,8.wav,wir sehen einen kleinen Schaden an der Suspension,wir sehen einen kleinen Schaden an der Suspension,we're seeing a little bit of suspension damage
\voice\damage_reporting\minor_suspension_damage,9.wav,du hast dort einiges an geringem Schaden am Fahrwerk,du hast dort einiges an geringem Schaden am Fahrwerk,you've got some minor suspension damage there
\voice\damage_reporting\minor_suspension_damage_general,10.wav,du hast einen kleinen Schaden am Fahrwerk,du hast einen kleinen Schaden am Fahrwerk,you got a little bit of suspension damage
\voice\damage_reporting\minor_suspension_damage_general,3_op_prefix_ok.wav,Sie haben einen gewissen Schaden am Fahrwerk,Sie haben einen gewissen Schaden am Fahrwerk,you've had a bit of suspension damage
\voice\damage_reporting\minor_suspension_damage_general,4.wav,es gibt einige geringfügige Schaden an der Suspension,es gibt einige geringfügige Schaden an der Suspension,there's some minor suspension damage
\voice\damage_reporting\minor_suspension_damage_general,5.wav,wir beobachten einige geringfügige Schaden an der Suspension,wir beobachten einige geringfügige Schaden an der Suspension,we're seeing some minor suspension damage
\voice\damage_reporting\minor_suspension_damage_general,6.wav,du hast einen kleinen Schaden an der Suspension,du hast einen kleinen Schaden an der Suspension,you've got a little bit of suspension damage
\voice\damage_reporting\minor_suspension_damage_general,7.wav,"es sieht so aus, als wäre deine Suspension ein bisschen durcheinander","es sieht so aus, als wäre deine Suspension ein bisschen durcheinander",it looks like your suspension's a little bit off
\voice\damage_reporting\minor_suspension_damage_general,8.wav,wir sehen ein wenig Schaden am Fahrwerk,wir sehen ein wenig Schaden am Fahrwerk,we're seeing a little bit of suspension damage
\voice\damage_reporting\minor_suspension_damage_general,9.wav,du hast dort einiges an geringem Schaden am Fahrwerk,du hast dort einiges an geringem Schaden am Fahrwerk,you've got some minor suspension damage there
\voice\damage_reporting\minor_transmission_damage,1.wav,sei sanft mit der Getriebe,sei sanft mit der Getriebe,go easy on the transmission
\voice\damage_reporting\minor_transmission_damage,2.wav,"pass auf die herunterschaltungen achten, sei sanft mit der getriebe","pass auf die herunterschaltungen achten, sei sanft mit der getriebe","watch those downshifts, go easy on the transmission"
\voice\damage_reporting\minor_transmission_damage,3.wav,pass auf mit den getriebeumschaltungen oder die übertragung hält den wettkampf nicht aus,pass auf mit den getriebeumschaltungen oder die übertragung hält den wettkampf nicht aus,careful with those gearshifts or the transmission ain't gonna last the race
\voice\damage_reporting\missing_wheel,1.wav,"du fehlst einem Rad, Kumpel, lass uns sehen, ob du es zur Boxenkurve zurückbekommst","du fehlst einem Rad, Kumpel, lass uns sehen, ob du es zur Boxenkurve zurückbekommst","you're missing a wheel, mate, let's see if you can get it back to the pits"
\voice\damage_reporting\missing_wheel,2.wav,"du fehlst an einem Rad, du könntest es hinkend zurück zu schaffen, aber ich weiß nicht, ob wir das reparieren können","du fehlst an einem Rad, du könntest es hinkend zurück zu schaffen, aber ich weiß nicht, ob wir das reparieren können","you're missing a wheel, you might be able to limp back, but I don't know if we can sort it"
\voice\damage_reporting\missing_wheel,3.wav,"du hast eine Radschale verloren, das sieht nicht gut aus, Kumpel","du hast eine Radschale verloren, das sieht nicht gut aus, Kumpel","you've lost a wheel, it's not looking good, mate"
\voice\damage_reporting\no_aero_damage,1.wav,deine Karosserie sieht gut aus,deine Karosserie sieht gut aus,your bodywork looks good
\voice\damage_reporting\no_aero_damage,2.wav,Deine Karosserie ist in Ordnung,Deine Karosserie ist in Ordnung,your bodywork's fine
\voice\damage_reporting\no_aero_damage,3.wav,Deine Karosserie ist in Ordnung,Deine Karosserie ist in Ordnung,your bodywork's okay
\voice\damage_reporting\no_brake_damage,1.wav,von hier aus sehen deine Bremsen gut aus,von hier aus sehen deine Bremsen gut aus,your brakes look good from here
\voice\damage_reporting\no_brake_damage,2.wav,"Deine Bremsen sind absolut in Ordnung, Kumpel","Deine Bremsen sind absolut in Ordnung, Kumpel","your brakes are absolutely fine, mate"
\voice\damage_reporting\no_brake_damage,3.wav,Deine Bremsen sind gut,Deine Bremsen sind gut,your brakes are good
\voice\damage_reporting\no_damage,1.wav,"Auto sieht in Ordnung aus, keine erheblichen Schäden","Auto sieht in Ordnung aus, keine erheblichen Schäden","car looks fine, no significant damage"
\voice\damage_reporting\no_damage,2.wav,es gibt keinen erheblichen Schaden,es gibt keinen erheblichen Schaden,there's no significant damage
\voice\damage_reporting\no_damage,3.wav,"der wagen sieht gut aus, keine schäden","der wagen sieht gut aus, keine schäden","the car's looking good, no damage"
\voice\damage_reporting\no_engine_damage,1.wav,Motor sieht in Ordnung aus,Motor sieht in Ordnung aus,engine looks fine
\voice\damage_reporting\no_engine_damage,2.wav,"Motor sieht gut aus, Kumpel","Motor sieht gut aus, Kumpel","engine looks good, mate"
\voice\damage_reporting\no_engine_damage,3.wav,Motor sieht in Ordnung aus,Motor sieht in Ordnung aus,engine looks okay
\voice\damage_reporting\no_suspension_damage,1.wav,"Deine Suspension sieht in Ordnung aus, Kumpel","Deine Suspension sieht in Ordnung aus, Kumpel","your suspension looks fine, mate"
\voice\damage_reporting\no_suspension_damage,2.wav,Deine Suspension ist in Ordnung,Deine Suspension ist in Ordnung,your suspension's fine
\voice\damage_reporting\no_suspension_damage,3.wav,wir sehen keine Federungsschäden,wir sehen keine Federungsschäden,we're not seeing any suspension damage
\voice\damage_reporting\no_transmission_damage,1.wav,die Getriebe sieht in Ordnung aus,die Getriebe sieht in Ordnung aus,the transmission looks fine
\voice\damage_reporting\no_transmission_damage,2.wav,"Die Getriebe sieht in Ordnung aus, Kumpel","Die Getriebe sieht in Ordnung aus, Kumpel","the transmission looks fine, mate"
\voice\damage_reporting\no_transmission_damage,3.wav,Die Getriebe ist in Ordnung,Die Getriebe ist in Ordnung,the transmission's okay
\voice\damage_reporting\right_front_puncture,1.wav,Reifendruck vorne rechts,Reifendruck vorne rechts,right front puncture
\voice\damage_reporting\right_front_puncture,2.wav,Ihre vordere Reifenseite ist platt,Ihre vordere Reifenseite ist platt,your right front's punctured
\voice\damage_reporting\right_front_puncture,3.wav,Reifendruck vorne rechts,Reifendruck vorne rechts,right front puncture
\voice\damage_reporting\right_rear_puncture,1.wav,rechts hinten Reifenzwang,rechts hinten Reifenzwang,right rear puncture
\voice\damage_reporting\right_rear_puncture,2.wav,du hast eine rechte hintere Reifenzersplitterung,du hast eine rechte hintere Reifenzersplitterung,you got a right rear puncture
\voice\damage_reporting\right_rear_puncture,3.wav,Dein rears linker Reifen ist platt,Dein rears linker Reifen ist platt,your right rear's punctured
\voice\damage_reporting\rolling,1.wav,das sieht schmerzhaft aus,das sieht schmerzhaft aus,that looks painful
\voice\damage_reporting\rolling,2.wav,"unglücklicher Kumpel, das sieht schmerzhaft aus","unglücklicher Kumpel, das sieht schmerzhaft aus","unlucky mate, that looks painful"
\voice\damage_reporting\rolling,3.wav,es ist die andere Art schneller,es ist die andere Art schneller,it's quicker the other way up
\voice\damage_reporting\rolling,4.wav,"nein, jetzt bist du dort kopfüber","nein, jetzt bist du dort kopfüber","no, now you've gone upside-down there"
\voice\damage_reporting\rolling,5.wav,"das stimmt nicht, es muss umgedreht sein, ich bin sicher","das stimmt nicht, es muss umgedreht sein, ich bin sicher","that's not right, it should be the other way up, I'm sure"
\voice\damage_reporting\rolling,6.wav,versuche die andere Seite,versuche die andere Seite,try the other way up
\voice\damage_reporting\rolling,7.wav,"es fährt schneller, wenn es auf seinen Rädern ist, Kumpel","es fährt schneller, wenn es auf seinen Rädern ist, Kumpel","it goes quicker when it's on its wheels, mate"
\voice\damage_reporting\rolling,sweary_8.wav,"verdammt, das sah schmerzhaft aus, wie ist dein Kopf","verdammt, das sah schmerzhaft aus, wie ist dein Kopf","shit, that looked painful, how's your head"
\voice\damage_reporting\severe_aero_damage,1.wav,"der Karosserie ist ziemlich beschädigt, wir müssen das vielleicht reparieren","der Karosserie ist ziemlich beschädigt, wir müssen das vielleicht reparieren","the bodywork's in pretty bad shape, we might need to fix that"
\voice\damage_reporting\severe_aero_damage,2.wav,"du hast erhebliche Aerodynamikschäden, du solltest es vielleicht reparieren lassen","du hast erhebliche Aerodynamikschäden, du solltest es vielleicht reparieren lassen","you've had quite a lot of aero damage, you might need to come and get it fixed"
\voice\damage_reporting\severe_aero_damage,sweary_3.wav,"du hast da eine Menge Aerodynamikschäden, Kumpel, die Karosserie sieht ziemlich beschädigt aus","du hast da eine Menge Aerodynamikschäden, Kumpel, die Karosserie sieht ziemlich beschädigt aus","you've had a lot of aero damage there, mate, the bodywork looks pretty fucked"
\voice\damage_reporting\severe_brake_damage,1.wav,"Wir müssen diese Bremsen reparieren, kommen Sie herein","Wir müssen diese Bremsen reparieren, kommen Sie herein","we're gonna have to fix these brakes, come in"
\voice\damage_reporting\severe_brake_damage,2.wav,"Deine Bremsen sehen wirklich schlecht aus, komm rein","Deine Bremsen sehen wirklich schlecht aus, komm rein","your brakes are looking really bad, come in"
\voice\damage_reporting\severe_brake_damage,3.wav,"Pitstop jetzt, wir müssen diese Bremsen reparieren","Pitstop jetzt, wir müssen diese Bremsen reparieren","pit now, we need to fix these brakes"
\voice\damage_reporting\severe_engine_damage,1.wav,"der Motor ist am Ende, Kumpel, versuch ihm etwas Spielraum zu geben","der Motor ist am Ende, Kumpel, versuch ihm etwas Spielraum zu geben","the engine's on its last legs, mate, try and give it some breathing space"
\voice\damage_reporting\severe_engine_damage,2.wav,"der Motor klang absolut schrecklich, tu einfach, was du kannst, Kumpel","der Motor klang absolut schrecklich, tu einfach, was du kannst, Kumpel","the engine sounded absolutely terrible, just do what you can, mate"
\voice\damage_reporting\severe_engine_damage,3.wav,"der Motor ist in schlechter Verfassung, fahre einfach ruhig weiter, lass uns sehen ob wir es zum Finish schaffen","der Motor ist in schlechter Verfassung, fahre einfach ruhig weiter, lass uns sehen ob wir es zum Finish schaffen","that engine's in a bad way, just take it easy, let's see if we can get it to the finish"
\voice\damage_reporting\severe_suspension_damage,1.wav,du hast da an der Suspension ernsthafte Schäden,du hast da an der Suspension ernsthafte Schäden,you got some serious suspension damage there
\voice\damage_reporting\severe_suspension_damage,2.wav,"Deine Suspension sieht ziemlich schlecht aus, Kumpel","Deine Suspension sieht ziemlich schlecht aus, Kumpel","your suspension's looking pretty bad, mate"
\voice\damage_reporting\severe_suspension_damage,3.wav,"Deine Suspension muss repariert werden, du musst reinkommen","Deine Suspension muss repariert werden, du musst reinkommen","your suspension's gonna need sorting, you'll need to come in"
\voice\damage_reporting\severe_transmission_damage,1.wav,"Deine Getriebe ist schlecht dran, Kumpel, es könnte sein, dass du das Ende nicht schaffst","Deine Getriebe ist schlecht dran, Kumpel, es könnte sein, dass du das Ende nicht schaffst","your transmission's in a bad way, mate, you might not make it to the end"
\voice\damage_reporting\severe_transmission_damage,2.wav,"du hast diese Übertragung richtig vermasselt, Kumpel","du hast diese Übertragung richtig vermasselt, Kumpel","you made a right mess of this transmission, mate"
\voice\damage_reporting\severe_transmission_damage,3.wav,"deine Getriebe sieht beschädigt aus, ich denke nicht, dass du damit das Ende schaffst","deine Getriebe sieht beschädigt aus, ich denke nicht, dass du damit das Ende schaffst","your transmission looks fucked, I don't think you'll get to the end with that"
\voice\damage_reporting\stopped_upside_down,1.wav,"geht's dir gut, Kumpel?","geht's dir gut, Kumpel?","are you okay, mate?"
\voice\damage_reporting\stopped_upside_down,2.wav,geht's dir gut?,geht's dir gut?,are you okay?
\voice\damage_reporting\stopped_upside_down,3.wav,geht es dir gut?,geht es dir gut?,are you all right?
\voice\damage_reporting\stopped_upside_down,4.wav,geht es dir gut?,geht es dir gut?,are you okay?
\voice\damage_reporting\stopped_upside_down,5.wav,geht's dir da okay?,geht's dir da okay?,are you okay there?
\voice\damage_reporting\stopped_upside_down,6.wav,geht es dir gut?,geht es dir gut?,are you all right?
\voice\damage_reporting\stopped_upside_down,7.wav,"das sah schlecht aus, geht's dir gut?","das sah schlecht aus, geht's dir gut?","that looked bad, are you okay?"
\voice\damage_reporting\stopped_upside_down,8.wav,"das sah wie ein großer Unfall aus, geht's dir gut?","das sah wie ein großer Unfall aus, geht's dir gut?","that looked like a big one, are you all right?"
\voice\damage_reporting\stopped_upside_down,9.wav,"das sah ziemlich schlimm aus, geht's dir gut?","das sah ziemlich schlimm aus, geht's dir gut?","that looked pretty bad, are you okay?"
\voice\damage_reporting\trivial_aero_damage,1.wav,"es ist nur ein Kratzer, ignorieren Sie ihn","es ist nur ein Kratzer, ignorieren Sie ihn","it's just a scratch, ignore it"
\voice\damage_reporting\trivial_aero_damage,10.wav,"ignoriere diese aerodynamische Schädigung, es ist nichts","ignoriere diese aerodynamische Schädigung, es ist nichts","ignore that aero damage, it's nothing"
\voice\damage_reporting\trivial_aero_damage,11.wav,"kleine aerodynamische Schäden, ignorieren Sie es","kleine aerodynamische Schäden, ignorieren Sie es","tiny bit of aero damage, just ignore it"
\voice\damage_reporting\trivial_aero_damage,12.wav,"du hast dort ein kleines Leichtbeschädigung an der Karosserie, ignoriere es einfach","du hast dort ein kleines Leichtbeschädigung an der Karosserie, ignoriere es einfach","you got a tiny bit of bodywork damage there, just ignore it"
\voice\damage_reporting\trivial_aero_damage,2.wav,"das wird sich glätten, Kumpel, vergiss es","das wird sich glätten, Kumpel, vergiss es","it'll polish out, mate, forget about it"
\voice\damage_reporting\trivial_aero_damage,3.wav,"alles in Ordnung Kumpel, es ist nur ein Kratzer","alles in Ordnung Kumpel, es ist nur ein Kratzer","it's fine mate, it's just a scrape"
\voice\damage_reporting\trivial_aero_damage,4.wav,"das ist kaum ein Kratzer, Kumpel, ignoriere es einfach","das ist kaum ein Kratzer, Kumpel, ignoriere es einfach","that's barely a scratch, mate, just ignore it"
\voice\damage_reporting\trivial_aero_damage,5.wav,"das ist kaum ein Kratzer, ignoriere es einfach","das ist kaum ein Kratzer, ignoriere es einfach","that's barely a scratch, just ignore it"
\voice\damage_reporting\trivial_aero_damage,6.wav,"vergiss das, das wird sich wahrscheinlich nur polieren","vergiss das, das wird sich wahrscheinlich nur polieren","forget about that, it'll probably just polish out"
\voice\damage_reporting\trivial_aero_damage,7.wav,"kleine aerodynamische Schäden, ignorieren Sie es","kleine aerodynamische Schäden, ignorieren Sie es","tiny bit of aero damage, just ignore it"
\voice\damage_reporting\trivial_aero_damage,8.wav,"ein kleines aerodynamisches Schaden dort, Sie werden es wahrscheinlich gar nicht spüren","ein kleines aerodynamisches Schaden dort, Sie werden es wahrscheinlich gar nicht spüren","tiny bit of aero damage there, you probably won't even feel it"
\voice\damage_reporting\trivial_aero_damage,9.wav,"du hast einen kleinen Schaden am Karosserieteil, aber du wirst ihn nicht spüren","du hast einen kleinen Schaden am Karosserieteil, aber du wirst ihn nicht spüren","you've taken a tiny bit of bodywork damage, but you won't feel it"
\voice\damage_reporting\trivial_aero_damage_general,10.wav,"ignoriere die aerodynamische Schädigung, es ist nichts","ignoriere die aerodynamische Schädigung, es ist nichts","ignore that aero damage, it's nothing"
\voice\damage_reporting\trivial_aero_damage_general,11.wav,"kleine aerodynamische Schäden, ignorieren Sie es","kleine aerodynamische Schäden, ignorieren Sie es","tiny bit of aero damage, just ignore it"
\voice\damage_reporting\trivial_aero_damage_general,12.wav,"du hast dort ein kleines Leichtmetallverformungs, ignoriere es einfach","du hast dort ein kleines Leichtmetallverformungs, ignoriere es einfach","you got a tiny bit of bodywork damage there, just ignore it"
\voice\damage_reporting\trivial_aero_damage_general,7.wav,"kleine aerodynamische Schäden, ignorieren Sie das","kleine aerodynamische Schäden, ignorieren Sie das","tiny bit of aero damage, just ignore it"
\voice\damage_reporting\trivial_aero_damage_general,8.wav,"ein kleines aerodynamisches Schaden dort, du wirst es wahrscheinlich gar nicht bemerken","ein kleines aerodynamisches Schaden dort, du wirst es wahrscheinlich gar nicht bemerken","tiny bit of aero damage there, you probably won't even feel it"
\voice\damage_reporting\trivial_aero_damage_general,9.wav,"du hast einen winzigen Schaden am Karosserie erlitten, aber du wirst ihn nicht spüren","du hast einen winzigen Schaden am Karosserie erlitten, aber du wirst ihn nicht spüren","you've taken a tiny bit of bodywork damage, but you won't feel it"
\voice\driver_swaps\10_minutes_left_in_stint,1.wav,zehn Minuten übrig in dieser Fahrerrotation,zehn Minuten übrig in dieser Fahrerrotation,10 minutes left in this driver stint
\voice\driver_swaps\10_minutes_left_in_stint,2.wav,du hast zehn Minuten Zeit bis wir den Fahrer wechseln müssen,du hast zehn Minuten Zeit bis wir den Fahrer wechseln müssen,you've got 10 minutes left before we need to change drivers
\voice\driver_swaps\10_minutes_left_in_stint,3.wav,du hast zehn Minuten bevor wir den Fahrer wechseln müssen,du hast zehn Minuten bevor wir den Fahrer wechseln müssen,you got 10 minutes before we need to change drivers
\voice\driver_swaps\10_minutes_left_in_stint,4.wav,"zehn Minuten bis zum Ende dieser Runde, dann brauchen wir eine Fahrerwechsel","zehn Minuten bis zum Ende dieser Runde, dann brauchen wir eine Fahrerwechsel",10 minutes left in this stint before we need a driver swap
\voice\driver_swaps\10_minutes_left_in_stint,5.wav,"zehn Minuten bis zum Ende dieser Runde, wir werden einen Fahrerwechsel brauchen","zehn Minuten bis zum Ende dieser Runde, wir werden einen Fahrerwechsel brauchen","10 minutes left in this stint, we'll need a driver swap"
\voice\driver_swaps\15_minutes_left_in_stint,1.wav,fünfzehn Minuten Restzeit für diese Fahrer-Runde,fünfzehn Minuten Restzeit für diese Fahrer-Runde,15 minutes of this driver stint remaining
\voice\driver_swaps\15_minutes_left_in_stint,2.wav,"du hast fünfzehn Minuten, bis wir einen Fahrertausch brauchen","du hast fünfzehn Minuten, bis wir einen Fahrertausch brauchen",you got 15 minutes before we need a driver swap
\voice\driver_swaps\15_minutes_left_in_stint,3.wav,fünfzehn Minuten dieser Runde bleiben,fünfzehn Minuten dieser Runde bleiben,15 minutes of this stint left
\voice\driver_swaps\15_minutes_left_in_stint,4.wav,fünfzehn Minuten bevor wir den Fahrer wechseln müssen,fünfzehn Minuten bevor wir den Fahrer wechseln müssen,15 minutes before we need to change drivers
\voice\driver_swaps\15_minutes_left_in_stint,5.wav,fünfzehn Minuten vor der Fahrerwechsel,fünfzehn Minuten vor der Fahrerwechsel,15 minutes before we need a driver swap
\voice\driver_swaps\2_minutes_left_in_stint,1.wav,zwei Minuten verbleibend in dieser Fahrer-Runde,zwei Minuten verbleibend in dieser Fahrer-Runde,2 minutes remaining on this driver stint
\voice\driver_swaps\2_minutes_left_in_stint,2.wav,zwei Minuten bevor wir die Fahrer austauschen müssen,zwei Minuten bevor wir die Fahrer austauschen müssen,2 minutes before we gotta swap drivers
