audio_filename,original_text,text_for_tts
\voice\corners\the_right_left_after_mansfield:26.wav,The Right-Left after Mansfield,
\voice\corners\the_second_chicane:13.wav,The Second Chicayne,
\voice\corners\the_second_chicane:14.wav,The Second Chicayne,
\voice\corners\the_second_chicane:15.wav,The Second Chicayne,
\voice\corners\the_second_ford_chicane:93.wav,The Second Ford Chicayne,
\voice\corners\the_second_ford_chicane:94.wav,The Second Ford Chicayne,
\voice\corners\the_start_of_the_complex:45.wav,The Start of the Complex,
\voice\corners\the_start_of_the_complex:46.wav,The Start of the Complex,
\voice\corners\the_sweep:43.wav,The Sweep,
\voice\corners\the_swimming_pool:52.wav,The Swimming Pool,
\voice\corners\the_swimming_pool:53.wav,The Swimming Pool,
\voice\corners\the_swimming_pool:54.wav,The Swimming Pool,
\voice\corners\the_tri_oval:71.wav,The Tri-Oval,
\voice\corners\the_tunnel:46.wav,The Tunnel,
\voice\corners\the_tunnel:47.wav,The Tunnel,
\voice\corners\the_tunnel:48.wav,The Tunnel,
\voice\corners\thunder_valley:69.wav,Thunder Valley,
\voice\corners\tiergarten:1.wav,Tiergarten,
\voice\corners\toe:5.wav,Toe,
\voice\corners\toe:6.wav,Toe,
\voice\corners\tore_vip:70.wav,Tore Vip,
\voice\corners\tosa:16.wav,Tosa,
\voice\corners\tosa:17.wav,Tosa,
\voice\corners\tosa:18.wav,Tosa,
\voice\corners\tour:15.wav,Tour,
\voice\corners\tower:37.wav,Tower,
\voice\corners\tower:38.wav,Tower,
\voice\corners\trioval:44.wav,Tri Oval,
\voice\corners\triple:45.wav,Triple,
\voice\corners\tunnel:13.wav,Tunnel,
\voice\corners\tunnel:14.wav,Tunnel,
\voice\corners\tunnel:15.wav,Tunnel,
\voice\corners\turn10:10.wav,Turn 10,
\voice\corners\turn11:11.wav,Turn 11,
\voice\corners\turn12:12.wav,Turn 12,
\voice\corners\turn13:13.wav,Turn 13,
\voice\corners\turn14:14.wav,Turn 14,
\voice\corners\turn15:15.wav,Turn 15,
\voice\corners\turn16:72.wav,Turn 16,
\voice\corners\turn17:73.wav,Turn 17,
\voice\corners\turn18:74.wav,Turn 18,
\voice\corners\turn19:75.wav,Turn 19,
\voice\corners\turn1:1.wav,Turn 1,
\voice\corners\turn20:76.wav,Turn 20,
\voice\corners\turn21:77.wav,Turn 21,
\voice\corners\turn22:78.wav,Turn 22,
\voice\corners\turn23:79.wav,Turn 23,
\voice\corners\turn24:99.wav,Turn 24,
\voice\corners\turn25:100.wav,Turn 25,
\voice\corners\turn2:2.wav,Turn 2,
\voice\corners\turn3:3.wav,Turn 3,
\voice\corners\turn4:4.wav,Turn 4,
\voice\corners\turn5:5.wav,Turn 5,
\voice\corners\turn6:6.wav,Turn 6,
\voice\corners\turn7:7.wav,Turn 7,
\voice\corners\turn8:8.wav,Turn 8,
\voice\corners\turn9:9.wav,Turn 9,
\voice\corners\uncini_1:46.wav,Uncini 1,
\voice\corners\uncini_2:47.wav,Uncini 2,
\voice\corners\uphill:113.wav,Uphill,
\voice\corners\uphill:114.wav,Uphill,
\voice\corners\uphill:7.wav,Uphill,
\voice\corners\uphill:8.wav,Uphill,
\voice\corners\uphill:9.wav,Uphill,
\voice\corners\uphill_chicane:119.wav,Uphill Chicayne,
\voice\corners\uphill_chicane:120.wav,Uphill Chicayne,
\voice\corners\v8_race_corner:80.wav,V8 Race Corner,
\voice\corners\vale:23.wav,Vale,
\voice\corners\vale:24.wav,Vale,
\voice\corners\valvoline_kurve:12.wav,Valvoline Kurve,
\voice\corners\variante_bassa:29.wav,Variante Bassa,
\voice\corners\variante_del_parco:114.wav,Variante del Parco,
\voice\corners\variante_del_rettifilo:50.wav,Variante del Rettifilo,
\voice\corners\variante_della_roggia:51.wav,Variante della Roggia,
\voice\corners\varianti_alta:1.wav,Varianti Alta,
\voice\corners\varianti_alta:2.wav,Varianti Alta,
\voice\corners\varianti_alta:3.wav,Varianti Alta,
\voice\corners\veedol_schikane:2.wav,Veedol Schikane,
\voice\corners\verriere:4.wav,Verriere,
\voice\corners\viaduct:81.wav,Viaduct,
\voice\corners\village:14.wav,Village,
\voice\corners\village_en:10.wav,Village,
\voice\corners\villeneuve:19.wav,Villeneuve,
\voice\corners\villeneuve:20.wav,Villeneuve,
\voice\corners\villeneuve:21.wav,Villeneuve,
\voice\corners\villenuve:27.wav,Villeneuve,
\voice\corners\villeroy_double_right:3.wav,Villeroy Double Right,
\voice\corners\vip_curve:81.wav,VIP Curve,
\voice\corners\virage_cote_134:48.wav,Virage Cote 134,
\voice\corners\virage_de_l'hotel:5.wav,Virage de l'Hotel,
\voice\corners\virage_de_la_ferme:49.wav,Virage de la Ferme,
\voice\corners\virage_de_la_foret:50.wav,Virage de la Foret,
\voice\corners\virage_de_la_saint_beaune:7.wav,Virage de la Saint Beaune,
\voice\corners\virage_de_la_tour:43.wav,Virage de la Tour,
\voice\corners\virage_du_autoroute:51.wav,Virage du Autoroute,
\voice\corners\virage_du_beauville:52.wav,Virage du Beauville,
\voice\corners\virage_du_gresil:53.wav,Virage du Gresil,
\voice\corners\virage_du_nouveau_monde:54.wav,Virage du Nouveau Monde,
\voice\corners\virage_du_paradis:55.wav,Virage du Paradis,
\voice\corners\virage_du_pont:44.wav,Virage du Pont,
\voice\corners\virage_samson:56.wav,Virage Samson,
\voice\corners\vitoria:26.wav,Vitoria,
\voice\corners\wakefield:82.wav,Wakefield,
\voice\corners\wall_of_champions:145.wav,Wall of Champions,
\voice\corners\wall_of_champions:146.wav,Wall of Champions,
\voice\corners\warsteiner_kurve:15.wav,Warsteiner Kurve,
\voice\corners\wehrseifen:3.wav,Wehrseifen,
\voice\corners\west_bend:115.wav,West Bend,
\voice\corners\west_bend:116.wav,West Bend,
\voice\corners\west_bend_chicane:121.wav,West Bend Chicayne,
\voice\corners\west_bend_chicane:122.wav,West Bend Chicayne,
\voice\corners\west_chicane:113.wav,West Chicayne,
\voice\corners\western_esses:13.wav,Western Esses,
\voice\corners\western_esses:14.wav,Western Esses,
\voice\corners\western_esses:15.wav,Western Esses,
\voice\corners\westfield:1.wav,Westfield,
\voice\corners\westfield:2.wav,Westfield,
\voice\corners\westfield:3.wav,Westfield,
\voice\corners\westway:83.wav,Westway,
\voice\corners\whiteford:84.wav,Whiteford,
\voice\corners\whites_corner:85.wav,Whites Corner,
\voice\corners\williams:199.wav,Williams,
\voice\corners\williams:200.wav,Williams,
\voice\corners\wilson:177.wav,Wilson,
\voice\corners\wilson:178.wav,Wilson,
\voice\corners\wippermann:4.wav,Wippermann,
\voice\corners\woodcote:11.wav,Woodcote,
\voice\corners\woodcote:12.wav,Woodcote,
\voice\corners\woodlands:57.wav,Woodlands,
\voice\corners\yentwood:151.wav,Yentwood,
\voice\corners\yentwood:152.wav,Yentwood,
\voice\corners\yokohama_s:5.wav,Yokohama S,
\voice\damage_reporting\acknowledge_driver_is_ok:1.wav,"that's good to know, thanks, mate",
\voice\damage_reporting\acknowledge_driver_is_ok:2.wav,that's a relief,
\voice\damage_reporting\acknowledge_driver_is_ok:3.wav,"okay, just sit tight, the team's on it's way",
\voice\damage_reporting\acknowledge_driver_is_ok:4.wav,"okay, mate, just sit tight, the medical team are coming",
\voice\damage_reporting\acknowledge_driver_is_ok:5.wav,"okay, mate, thanks for the update",
\voice\damage_reporting\acknowledge_driver_is_ok:6_op_prefix_ok.wav,"just sit tight, help's on the way",
\voice\damage_reporting\acknowledge_driver_is_ok:7_rq_prefix_ok.wav,thanks for the update,
\voice\damage_reporting\acknowledge_driver_is_ok:8_rq_prefix_ok.wav,that's good to know,
\voice\damage_reporting\acknowledge_driver_is_ok_no_speech:2.wav,"okay, mate, I think that radio's had it",
\voice\damage_reporting\acknowledge_driver_is_ok_no_speech:3.wav,"okay, I can't hear you, maybe the radio's gone",
\voice\damage_reporting\acknowledge_driver_is_ok_no_speech:4.wav,"can't hear anything, mate, think you've knackered the radio",
\voice\damage_reporting\acknowledge_driver_is_ok_no_speech:5.wav,"can't hear anything, think the radio's gone",
\voice\damage_reporting\acknowledge_driver_is_ok_no_speech:6.wav,"okay, mate, I think that radio's had it",
\voice\damage_reporting\acknowledge_driver_is_ok_no_speech:sweary_1.wav,I think the radio's fucked,
\voice\damage_reporting\acknowledge_driver_is_ok_not_understood:1.wav,"okay, sounds like you're all right",
\voice\damage_reporting\acknowledge_driver_is_ok_not_understood:2.wav,"sounds like you're okay, thanks, mate",
\voice\damage_reporting\acknowledge_driver_is_ok_not_understood:3.wav,good to hear you're okay,
\voice\damage_reporting\acknowledge_driver_is_ok_not_understood:4.wav,"didn't really catch that, but at least you're talking",
\voice\damage_reporting\acknowledge_driver_is_ok_not_understood:5.wav,"no idea what you just said, but at least it was something",
\voice\damage_reporting\acknowledge_driver_is_ok_not_understood:6.wav,"I assume that means you're okay, thanks, mate",
\voice\damage_reporting\are_you_ok_first_try:1.wav,"that looked bad, you okay?",
\voice\damage_reporting\are_you_ok_first_try:10_rq_suffix_please.wav,"that looked bad, can you confirm that you're all right?",
\voice\damage_reporting\are_you_ok_first_try:1_op_prefix_bad_luck.wav,"that looked bad, you okay?",
\voice\damage_reporting\are_you_ok_first_try:2.wav,"are you okay, mate?",
\voice\damage_reporting\are_you_ok_first_try:3.wav,"are you all right, that was a big one?",
\voice\damage_reporting\are_you_ok_first_try:4.wav,"that looked like a bad one, are you okay?",
\voice\damage_reporting\are_you_ok_first_try:5.wav,"are you all right, mate?",
\voice\damage_reporting\are_you_ok_first_try:6.wav,"that was a big one, are you okay?",
\voice\damage_reporting\are_you_ok_first_try:6_op_prefix_bad_luck.wav,"that was a big one, are you okay?",
\voice\damage_reporting\are_you_ok_first_try:9_rq_suffix_please.wav,can you confirm you're okay?,
\voice\damage_reporting\are_you_ok_first_try:sweary_7.wav,"shit, mate, that was bad, are you okay?",
\voice\damage_reporting\are_you_ok_first_try:sweary_8.wav,"fucking hell, that looked like it hurt, are you all right?",
\voice\damage_reporting\are_you_ok_second_try:10.wav,"come on, don't do this, tell us you're okay",
\voice\damage_reporting\are_you_ok_second_try:1_rq_suffix_please.wav,are you okay? Answer me if you can,
\voice\damage_reporting\are_you_ok_second_try:2_rq_suffix_please.wav,answer me if you can?,
\voice\damage_reporting\are_you_ok_second_try:3.wav,"come on, are you okay?",
\voice\damage_reporting\are_you_ok_second_try:4.wav,"come on, respond, please",
\voice\damage_reporting\are_you_ok_second_try:5.wav,can you hear me? Respond please,
\voice\damage_reporting\are_you_ok_second_try:6.wav,"can you respond, please, are you all right?",
\voice\damage_reporting\are_you_ok_second_try:7.wav,"come on, mate, are you okay? respond",
\voice\damage_reporting\are_you_ok_second_try:8.wav,"can you hear me, respond, please, are you okay?",
\voice\damage_reporting\are_you_ok_second_try:sweary_9.wav,"come on, we're all shitting ourselves here, tell us you're okay",
\voice\damage_reporting\are_you_ok_third_try:3.wav,"if you can hear me, help's on the way",
\voice\damage_reporting\are_you_ok_third_try:4.wav,"if you can hear me, help's coming",
\voice\damage_reporting\are_you_ok_third_try:5.wav,"you got us all really worried here, man",
\voice\damage_reporting\are_you_ok_third_try:6.wav,"there's a garage full of people turning blue, here",
\voice\damage_reporting\are_you_ok_third_try:sweary_1.wav,"shit, I hope it's just the radio that's knackered",
\voice\damage_reporting\are_you_ok_third_try:sweary_2.wav,"fucking hell, man, I hope you're okay",
\voice\damage_reporting\busted_brakes:1.wav,"there's nothing left of these brakes, mate, come back into the pit if you can",
\voice\damage_reporting\busted_brakes:2.wav,see if you can get it back to the pits and we can do what we can with these brakes,
\voice\damage_reporting\busted_brakes:sweary_3.wav,"them brakes are fucked, mate",
\voice\damage_reporting\busted_engine:1.wav,"we've lost the engine, it's over",
\voice\damage_reporting\busted_engine:2_op_prefix_oh_dear.wav,"that engine's toast, mate, you're gonna have to wait for a tow",
\voice\damage_reporting\busted_engine:2_op_prefix_ok.wav,"that engine's toast, mate, you're gonna have to wait for a tow",
\voice\damage_reporting\busted_engine:sweary_3.wav,"ah shit, that engine's completely gone, no chance of fixing that, mate",
\voice\damage_reporting\busted_engine:sweary_4_op_prefix_ok.wav,"the engine's fucked, nicely done, mate",
\voice\damage_reporting\busted_suspension:1.wav,"we can't fix our suspension, mate, that's your day over",
\voice\damage_reporting\busted_suspension:2.wav,"your suspension's completely knackered, there's nothing we can do there",
\voice\damage_reporting\busted_suspension:2_op_prefix_oh_dear.wav,"your suspension's completely knackered, there's nothing we can do there",
\voice\damage_reporting\busted_suspension:2_prefix_oh_dear.wav,"your suspension's completely knackered, there's nothing we can do there",
\voice\damage_reporting\busted_suspension:sweary_3.wav,the suspension's boogered,
\voice\damage_reporting\busted_transmission:1.wav,"transmission's completely screwed, that's our race done",
\voice\damage_reporting\busted_transmission:3.wav,"switch it off, mate, there's nothing left of the transmission, we're done here",
\voice\damage_reporting\busted_transmission:3_op_prefix_oh_dear.wav,"switch it off, mate, there's nothing left of the transmission, we're done here",
\voice\damage_reporting\busted_transmission:sweary_2.wav,"no chance of getting back to the pits with the transmission in that state, mate, you fucked it",
\voice\damage_reporting\left_front_puncture:1.wav,front left puncture,
\voice\damage_reporting\left_front_puncture:2.wav,flat front left,
\voice\damage_reporting\left_front_puncture:3.wav,front left puncture,
\voice\damage_reporting\left_rear_puncture:1.wav,rear left puncture,
\voice\damage_reporting\left_rear_puncture:2.wav,left rear puncture,
\voice\damage_reporting\left_rear_puncture:3.wav,your left rear is punctured,
\voice\damage_reporting\minor_aero_damage:10.wav,you picked up a little bit of bodywork damage,
\voice\damage_reporting\minor_aero_damage:11.wav,we're seeing a little bit of aero damage,
\voice\damage_reporting\minor_aero_damage:12.wav,looks like you got some minor bodywork damage,
\voice\damage_reporting\minor_aero_damage:1_op_prefix_ok.wav,you picked up some minor aero damage,
\voice\damage_reporting\minor_aero_damage:2_op_prefix_ok.wav,you picked up a big of aero damage,
\voice\damage_reporting\minor_aero_damage:3_op_prefix_ok.wav,you've had a bit of bodywork damage there,
\voice\damage_reporting\minor_aero_damage:4_op_prefix_ok.wav,"you had some minor aero damage, stay out, it's not that bad",
\voice\damage_reporting\minor_aero_damage:5.wav,"you've had a bit of bodywork damage, stay out, it's not too bad",
\voice\damage_reporting\minor_aero_damage:6.wav,you've got a little bit of bodywork damage there,
\voice\damage_reporting\minor_aero_damage:7.wav,some minor aero damage,
\voice\damage_reporting\minor_aero_damage:8.wav,we're seeing some minor aero damage,
\voice\damage_reporting\minor_aero_damage:9.wav,we're seeing a little bit of bodywork damage there,
\voice\damage_reporting\minor_aero_damage_general:10.wav,you've picked up a little bit of bodywork damage,
\voice\damage_reporting\minor_aero_damage_general:11.wav,we're seeing a little bit of aero damage,
\voice\damage_reporting\minor_aero_damage_general:12.wav,looks like you got some minor bodywork damage,
\voice\damage_reporting\minor_aero_damage_general:1_op_prefix_ok.wav,you picked up some minor aero damage,
\voice\damage_reporting\minor_aero_damage_general:2_op_prefix_ok.wav,you picked up a bit of aero damage,
\voice\damage_reporting\minor_aero_damage_general:3_op_prefix_ok.wav,you've had a bit of bodywork damage there,
\voice\damage_reporting\minor_aero_damage_general:6.wav,you've got a little bit of bodywork damage there,
\voice\damage_reporting\minor_aero_damage_general:7.wav,some minor aero damage,
\voice\damage_reporting\minor_aero_damage_general:8.wav,we're seeing some minor aero damage,
\voice\damage_reporting\minor_aero_damage_general:9.wav,we're seeing a little bit of bodywork damage there,
\voice\damage_reporting\minor_brake_damage:1.wav,you've got a bit of brake damage,
\voice\damage_reporting\minor_brake_damage:2.wav,we're seeing some minor brake damage,
\voice\damage_reporting\minor_brake_damage:3.wav,"there's something not right with those brakes, mate",
\voice\damage_reporting\minor_engine_damage:1.wav,"that engine doesn't sound right, mate, we'll keep an eye on it",
\voice\damage_reporting\minor_engine_damage:2.wav,"your engine's running a bit rough, mate",
\voice\damage_reporting\minor_engine_damage:3.wav,go easy on the engine or it's not gonna last the distance,
\voice\damage_reporting\minor_suspension_damage:10.wav,you got a little bit of suspension damage,
\voice\damage_reporting\minor_suspension_damage:1_op_prefix_ok.wav,"you've had a bit of suspension damage, it's probably all right",
\voice\damage_reporting\minor_suspension_damage:2_op_prefix_ok.wav,"you've had some suspension damage there, stay out",
\voice\damage_reporting\minor_suspension_damage:3_op_prefix_ok.wav,you've had a bit of suspension damage,
\voice\damage_reporting\minor_suspension_damage:4.wav,there's some minor suspension damage,
\voice\damage_reporting\minor_suspension_damage:5.wav,we're seeing some minor suspension damage,
\voice\damage_reporting\minor_suspension_damage:6.wav,you've got a little bit of suspension damage,
\voice\damage_reporting\minor_suspension_damage:7.wav,it looks like your suspension's a little bit off,
\voice\damage_reporting\minor_suspension_damage:8.wav,we're seeing a little bit of suspension damage,
\voice\damage_reporting\minor_suspension_damage:9.wav,you've got some minor suspension damage there,
\voice\damage_reporting\minor_suspension_damage_general:10.wav,you got a little bit of suspension damage,
\voice\damage_reporting\minor_suspension_damage_general:3_op_prefix_ok.wav,you've had a bit of suspension damage,
\voice\damage_reporting\minor_suspension_damage_general:4.wav,there's some minor suspension damage,
\voice\damage_reporting\minor_suspension_damage_general:5.wav,we're seeing some minor suspension damage,
\voice\damage_reporting\minor_suspension_damage_general:6.wav,you've got a little bit of suspension damage,
\voice\damage_reporting\minor_suspension_damage_general:7.wav,it looks like your suspension's a little bit off,
\voice\damage_reporting\minor_suspension_damage_general:8.wav,we're seeing a little bit of suspension damage,
\voice\damage_reporting\minor_suspension_damage_general:9.wav,you've got some minor suspension damage there,
\voice\damage_reporting\minor_transmission_damage:1.wav,go easy on the transmission,
\voice\damage_reporting\minor_transmission_damage:2.wav,"watch those downshifts, go easy on the transmission",
\voice\damage_reporting\minor_transmission_damage:3.wav,careful with those gearshifts or the transmission ain't gonna last the race,
\voice\damage_reporting\missing_wheel:1.wav,"you're missing a wheel, mate, let's see if you can get it back to the pits",
\voice\damage_reporting\missing_wheel:2.wav,"you're missing a wheel, you might be able to limp back, but I don't know if we can sort it",
\voice\damage_reporting\missing_wheel:3.wav,"you've lost a wheel, it's not looking good, mate",
\voice\damage_reporting\no_aero_damage:1.wav,your bodywork looks good,
\voice\damage_reporting\no_aero_damage:2.wav,your bodywork's fine,
\voice\damage_reporting\no_aero_damage:3.wav,your bodywork's okay,
\voice\damage_reporting\no_brake_damage:1.wav,your brakes look good from here,
\voice\damage_reporting\no_brake_damage:2.wav,"your brakes are absolutely fine, mate",
\voice\damage_reporting\no_brake_damage:3.wav,your brakes are good,
\voice\damage_reporting\no_damage:1.wav,"car looks fine, no significant damage",
\voice\damage_reporting\no_damage:2.wav,there's no significant damage,
\voice\damage_reporting\no_damage:3.wav,"the car's looking good, no damage",
\voice\damage_reporting\no_engine_damage:1.wav,engine looks fine,
\voice\damage_reporting\no_engine_damage:2.wav,"engine looks good, mate",
\voice\damage_reporting\no_engine_damage:3.wav,engine looks okay,
\voice\damage_reporting\no_suspension_damage:1.wav,"your suspension looks fine, mate",
\voice\damage_reporting\no_suspension_damage:2.wav,your suspension's fine,
\voice\damage_reporting\no_suspension_damage:3.wav,we're not seeing any suspension damage,
\voice\damage_reporting\no_transmission_damage:1.wav,the transmission looks fine,
\voice\damage_reporting\no_transmission_damage:2.wav,"the transmission looks fine, mate",
\voice\damage_reporting\no_transmission_damage:3.wav,the transmission's okay,
\voice\damage_reporting\right_front_puncture:1.wav,right front puncture,
\voice\damage_reporting\right_front_puncture:2.wav,your right front's punctured,
\voice\damage_reporting\right_front_puncture:3.wav,right front puncture,
\voice\damage_reporting\right_rear_puncture:1.wav,right rear puncture,
\voice\damage_reporting\right_rear_puncture:2.wav,you got a right rear puncture,
\voice\damage_reporting\right_rear_puncture:3.wav,your right rear's punctured,
\voice\damage_reporting\rolling:1.wav,that looks painful,
\voice\damage_reporting\rolling:2.wav,"unlucky mate, that looks painful",
\voice\damage_reporting\rolling:3.wav,it's quicker the other way up,
\voice\damage_reporting\rolling:4.wav,"no, now you've gone upside-down there",
\voice\damage_reporting\rolling:5.wav,"that's not right, it should be the other way up, I'm sure",
\voice\damage_reporting\rolling:6.wav,try the other way up,
\voice\damage_reporting\rolling:7.wav,"it goes quicker when it's on its wheels, mate",
\voice\damage_reporting\rolling:sweary_8.wav,"shit, that looked painful, how's your head",
\voice\damage_reporting\severe_aero_damage:1.wav,"the bodywork's in pretty bad shape, we might need to fix that",
\voice\damage_reporting\severe_aero_damage:2.wav,"you've had quite a lot of aero damage, you might need to come and get it fixed",
\voice\damage_reporting\severe_aero_damage:sweary_3.wav,"you've had a lot of aero damage there, mate, the bodywork looks pretty fucked",
\voice\damage_reporting\severe_brake_damage:1.wav,"we're gonna have to fix these brakes, come in",
\voice\damage_reporting\severe_brake_damage:2.wav,"your brakes are looking really bad, come in",
\voice\damage_reporting\severe_brake_damage:3.wav,"pit now, we need to fix these brakes",
\voice\damage_reporting\severe_engine_damage:1.wav,"the engine's on its last legs, mate, try and give it some breathing space",
\voice\damage_reporting\severe_engine_damage:2.wav,"the engine sounded absolutely terrible, just do what you can, mate",
\voice\damage_reporting\severe_engine_damage:3.wav,"that engine's in a bad way, just take it easy, let's see if we can get it to the finish",
\voice\damage_reporting\severe_suspension_damage:1.wav,you got some serious suspension damage there,
\voice\damage_reporting\severe_suspension_damage:2.wav,"your suspension's looking pretty bad, mate",
\voice\damage_reporting\severe_suspension_damage:3.wav,"your suspension's gonna need sorting, you'll need to come in",
\voice\damage_reporting\severe_transmission_damage:1.wav,"your transmission's in a bad way, mate, you might not make it to the end",
\voice\damage_reporting\severe_transmission_damage:2.wav,"you made a right mess of this transmission, mate",
\voice\damage_reporting\severe_transmission_damage:3.wav,"your transmission looks fucked, I don't think you'll get to the end with that",
\voice\damage_reporting\stopped_upside_down:1.wav,"are you okay, mate?",
\voice\damage_reporting\stopped_upside_down:2.wav,are you okay?,
\voice\damage_reporting\stopped_upside_down:3.wav,are you all right?,
\voice\damage_reporting\stopped_upside_down:4.wav,are you okay?,
\voice\damage_reporting\stopped_upside_down:5.wav,are you okay there?,
\voice\damage_reporting\stopped_upside_down:6.wav,are you all right?,
\voice\damage_reporting\stopped_upside_down:7.wav,"that looked bad, are you okay?",
\voice\damage_reporting\stopped_upside_down:8.wav,"that looked like a big one, are you all right?",
\voice\damage_reporting\stopped_upside_down:9.wav,"that looked pretty bad, are you okay?",
\voice\damage_reporting\trivial_aero_damage:1.wav,"it's just a scratch, ignore it",
\voice\damage_reporting\trivial_aero_damage:10.wav,"ignore that aero damage, it's nothing",
\voice\damage_reporting\trivial_aero_damage:11.wav,"tiny bit of aero damage, just ignore it",
\voice\damage_reporting\trivial_aero_damage:12.wav,"you got a tiny bit of bodywork damage there, just ignore it",
\voice\damage_reporting\trivial_aero_damage:2.wav,"it'll polish out, mate, forget about it",
\voice\damage_reporting\trivial_aero_damage:3.wav,"it's fine mate, it's just a scrape",
\voice\damage_reporting\trivial_aero_damage:4.wav,"that's barely a scratch, mate, just ignore it",
\voice\damage_reporting\trivial_aero_damage:5.wav,"that's barely a scratch, just ignore it",
\voice\damage_reporting\trivial_aero_damage:6.wav,"forget about that, it'll probably just polish out",
\voice\damage_reporting\trivial_aero_damage:7.wav,"tiny bit of aero damage, just ignore it",
\voice\damage_reporting\trivial_aero_damage:8.wav,"tiny bit of aero damage there, you probably won't even feel it",
\voice\damage_reporting\trivial_aero_damage:9.wav,"you've taken a tiny bit of bodywork damage, but you won't feel it",
\voice\damage_reporting\trivial_aero_damage_general:10.wav,"ignore that aero damage, it's nothing",
\voice\damage_reporting\trivial_aero_damage_general:11.wav,"tiny bit of aero damage, just ignore it",
\voice\damage_reporting\trivial_aero_damage_general:12.wav,"you got a tiny bit of bodywork damage there, just ignore it",
\voice\damage_reporting\trivial_aero_damage_general:7.wav,"tiny bit of aero damage, just ignore it",
\voice\damage_reporting\trivial_aero_damage_general:8.wav,"tiny bit of aero damage there, you probably won't even feel it",
\voice\damage_reporting\trivial_aero_damage_general:9.wav,"you've taken a tiny bit of bodywork damage, but you won't feel it",
\voice\driver_swaps\10_minutes_left_in_stint:1.wav,10 minutes left in this driver stint,
\voice\driver_swaps\10_minutes_left_in_stint:2.wav,you've got 10 minutes left before we need to change drivers,
\voice\driver_swaps\10_minutes_left_in_stint:3.wav,you got 10 minutes before we need to change drivers,
\voice\driver_swaps\10_minutes_left_in_stint:4.wav,10 minutes left in this stint before we need a driver swap,
\voice\driver_swaps\10_minutes_left_in_stint:5.wav,"10 minutes left in this stint, we'll need a driver swap",
\voice\driver_swaps\15_minutes_left_in_stint:1.wav,15 minutes of this driver stint remaining,
\voice\driver_swaps\15_minutes_left_in_stint:2.wav,you got 15 minutes before we need a driver swap,
\voice\driver_swaps\15_minutes_left_in_stint:3.wav,15 minutes of this stint left,
\voice\driver_swaps\15_minutes_left_in_stint:4.wav,15 minutes before we need to change drivers,
\voice\driver_swaps\15_minutes_left_in_stint:5.wav,15 minutes before we need a driver swap,
\voice\driver_swaps\2_minutes_left_in_stint:1.wav,2 minutes remaining on this driver stint,
\voice\driver_swaps\2_minutes_left_in_stint:2.wav,2 minutes before we gotta swap drivers,
\voice\driver_swaps\2_minutes_left_in_stint:3.wav,we got 2 minutes left of this driver stint,
\voice\driver_swaps\2_minutes_left_in_stint:4.wav,we'll need to swap in 2 minutes,
\voice\driver_swaps\2_minutes_left_in_stint:5.wav,need to change drivers in 2 minutes,
\voice\driver_swaps\5_minutes_left_in_stint:1.wav,5 minutes left before we gotta swap,
\voice\driver_swaps\5_minutes_left_in_stint:2.wav,5 minutes left in this stint,
\voice\driver_swaps\5_minutes_left_in_stint:3.wav,5 minutes left in this driver stint,
\voice\driver_swaps\5_minutes_left_in_stint:4.wav,we'll need to swap drivers in 5 minutes,
\voice\driver_swaps\5_minutes_left_in_stint:5.wav,we need a driver change in 5 minutes,
\voice\driver_swaps\pit_now_for_driver_change:1.wav,"driver change, box, box, box",
\voice\driver_swaps\pit_now_for_driver_change:2.wav,"driver change, pit now",
\voice\driver_swaps\pit_now_for_driver_change:3.wav,we're pitting now for a driver change,
\voice\driver_swaps\pit_now_for_driver_change:4.wav,we need to pit now for a driver change,
\voice\driver_swaps\pit_now_for_driver_change:5.wav,"box, box, box, we're doing a driver change this time",
\voice\driver_swaps\pit_this_lap_driver_change_no_more_stints:1.wav,"box this lap for a driver change, this is your last time in the car",
\voice\driver_swaps\pit_this_lap_driver_change_no_more_stints:2.wav,"our time in the car is up, pit this lap for a driver change",
\voice\driver_swaps\pit_this_lap_driver_change_no_more_stints:3.wav,"box this lap for a driver change, we've got no more stints left",
\voice\driver_swaps\pit_this_lap_driver_change_no_more_stints:4.wav,"pit this lap for a driver change, our time in the car is up",
\voice\driver_swaps\pit_this_lap_driver_change_no_more_stints:5.wav,"box this lap for a driver change, we've got no more time left in the car",
\voice\driver_swaps\pit_this_lap_for_driver_change:1.wav,pit this lap for your driver change,
\voice\driver_swaps\pit_this_lap_for_driver_change:2.wav,pit this lap for a driver swap,
\voice\driver_swaps\pit_this_lap_for_driver_change:3.wav,box this lap for a driver swap,
\voice\driver_swaps\pit_this_lap_for_driver_change:4.wav,pit this lap for a driver swap,
\voice\driver_swaps\pit_this_lap_for_driver_change:5.wav,pit this lap for a driver change,
\voice\engine_monitor\all_clear:1_op_prefix_ok.wav,your engine temperatures are looking better now,
\voice\engine_monitor\all_clear:2_op_prefix_ok.wav,"your engine temperatures are okay, all clear on engine temperatures",
\voice\engine_monitor\all_clear:3_op_prefix_ok.wav,your engine temperatures are now back to normal,
\voice\engine_monitor\hot_oil:1_op_prefix_ok.wav,"keep an eye on your oil temperature, it's creeping up",
\voice\engine_monitor\hot_oil:2_op_prefix_ok.wav,your oil temperature's getting a bit high,
\voice\engine_monitor\hot_oil:3_op_prefix_ok.wav,"watch your oil temperature, it's pretty high",
